MSZoning,LotArea,SalePrice,YearBuilt,Street
RM,6240,103000,1925,Pave
RL,5389,236500,1995,Pave
RL,9590,187500,2003,Pave
RL,11404,222500,1998,Pave
RL,10000,131400,1961,Pave
RL,8978,108000,1968,Pave
RM,10800,163000,1914,Pave
RL,8544,93500,1950,Pave
RL,10463,239900,2005,Pave
RL,10800,179000,1987,Pave
RL,9313,190000,2004,Pave
RM,9600,132000,1910,Pave
RL,6768,142000,1961,Pave
RL,8450,179000,2000,Pave
RL,12886,175000,1963,Pave
RL,5395,180000,1993,Pave
RL,8963,299800,1976,Pave
RL,8795,236000,2000,Pave
RM,11700,265979,1880,Pave
RL,10593,260400,1996,Pave
RL,8405,98000,1945,Pave
RM,8800,96500,1910,Pave
RL,7750,162000,2003,Pave
RL,9236,217000,1997,Pave
RL,10240,275500,2005,Pave
RL,7930,156000,1969,Pave
FV,3230,172500,1999,Pave
RL,10769,212000,2007,Pave
RL,11616,158900,1978,Pave
FV,2280,179400,1999,Pave
RL,12257,290000,1995,Pave
RL,9100,127500,1959,Pave
RM,6911,100000,1924,Pave
FV,8640,215200,2009,Pave
RL,9430,337000,1999,Pave
RL,9549,270000,1995,Pave
RL,14587,264132,2008,Pave
RL,10421,196500,1988,Pave
RL,12508,160000,1940,Pave
RL,9100,216837,2004,Pave
RL,53504,538000,2003,Pave
RL,7252,134900,1982,Pave
RL,8877,102000,1951,Pave
RL,7819,107000,1976,Pave
RL,10150,114500,1958,Pave
RL,14226,395000,2006,Pave
RM,4500,162000,1998,Pave
RL,11210,221500,2005,Pave
RL,13350,142500,1974,Pave
RH,8400,144000,1977,Pave
RL,10530,135000,1977,Pave
RL,7875,176000,1995,Pave
RL,7153,175900,1992,Pave
RL,16285,187100,2001,Pave
RL,9101,165500,1978,Pave
RM,6300,128000,1914,Pave
RL,9790,161500,1967,Pave
RM,10800,139000,1915,Pave
RL,10142,233000,2004,Pave
RM,6000,107900,1954,Pave
RL,12205,187500,1966,Pave
RL,3182,160200,2005,Pave
RL,11333,146800,1976,Pave
RL,9920,269790,1996,Pave
RL,9158,225000,2007,Pave
RL,10832,194500,1994,Pave
RL,8400,171000,1980,Pave
RL,8197,143500,1977,Pave
RL,7677,110000,1953,Pave
RL,13518,485000,2008,Pave
RL,7200,175000,1937,Pave
RL,12798,200000,1997,Pave
RM,4800,109900,1916,Pave
RL,8199,189000,2005,Pave
RL,13891,582933,2008,Pave
RL,9000,118000,1954,Pave
RL,12274,227680,2008,Pave
RL,9750,135500,1967,Pave
RL,21384,223500,1923,Pave
RL,13400,159950,1966,Pave
RM,8100,106000,1898,Pave
RL,10140,181000,1974,Pave
RM,4438,144500,2004,Pave
C (all),8712,55993,1952,Grvl
RL,9750,157900,1958,Pave
RL,8248,116000,1918,Pave
RL,12137,224900,1998,Pave
RL,11425,137000,1954,Pave
RL,13265,271000,2002,Pave
RL,8816,155000,1971,Pave
RL,6371,224000,2009,Pave
RL,7226,183000,2003,Pave
RM,6000,93000,1953,Pave
RL,12394,225000,2003,Pave
RL,9900,139500,1940,Pave
FV,11216,232600,2006,Pave
RL,14803,385000,2007,Pave
RM,6130,109500,1924,Pave
RL,8529,189000,2001,Pave
RL,28698,185000,1967,Pave
FV,2544,147400,2005,Pave
RL,11900,166000,1957,Pave
FV,3180,151000,2005,Pave
RL,9548,237000,2003,Pave
RL,10004,167000,1964,Pave
RL,7875,139950,1961,Pave
RL,9600,128000,1950,Pave
RM,8100,153500,1948,Pave
RM,1680,100000,1973,Pave
RL,9525,144000,1995,Pave
RL,11767,130500,1946,Pave
RH,12155,140000,1925,Pave
RM,10440,157500,1904,Pave
RL,9020,174900,1966,Pave
RL,8000,141000,1961,Pave
RM,12665,153900,1915,Pave
RL,16647,171000,1975,Pave
RL,9317,213000,1993,Pave
RL,15523,133500,1972,Pave
RL,45600,240000,1908,Pave
RL,9600,187000,1976,Pave
RM,4435,131500,2003,Pave
RL,3196,215000,2003,Pave
RL,7128,164000,1941,Pave
RL,12095,158000,1964,Pave
RL,17920,170000,1955,Pave
RL,6897,127000,1962,Pave
RL,10970,147000,1978,Pave
RL,8125,174000,1994,Pave
RL,10400,152000,1976,Pave
RL,11029,250000,1968,Pave
RL,7642,189950,1918,Pave
RL,11625,131500,1965,Pave
RL,9672,152000,1984,Pave
RL,7931,132500,1959,Pave
FV,8640,250580,2007,Pave
RL,8750,148500,1970,Pave
RL,10656,248900,2006,Pave
RL,6970,129000,1961,Pave
RL,14762,169000,1948,Pave
RL,9938,236000,1993,Pave
RL,6600,109500,1962,Pave
RL,8750,200500,1998,Pave
RL,8892,116000,1953,Pave
RL,12144,133000,1949,Pave
RM,5720,66500,1941,Pave
FV,9000,303477,2007,Pave
RL,25286,132250,1963,Pave
RL,8834,350000,2004,Pave
RL,11782,148000,1961,Pave
RL,7000,136500,1978,Pave
RL,7024,157000,2005,Pave
RL,13758,187500,1990,Pave
RL,9636,178000,1992,Pave
RL,6204,118500,1912,Pave
RL,7150,100000,1967,Pave
FV,5119,328900,1999,Pave
RL,8393,145000,1959,Pave
RL,16466,135500,1955,Pave
RL,15865,268000,1970,Pave
RL,12160,149500,1953,Pave
RL,8064,122900,1949,Pave
RL,11184,172500,1978,Pave
RL,8414,154500,1963,Pave
RL,13284,165000,1954,Pave
RL,7018,118858,1979,Pave
RL,7056,140000,1963,Pave
RM,8765,106500,1936,Pave
RL,7018,142953,1979,Pave
RL,12919,611657,2009,Pave
RL,6993,135000,1961,Pave
RL,7340,110000,1971,Pave
RL,8712,153000,1957,Pave
RL,7875,180000,2003,Pave
RL,14859,240000,2006,Pave
RL,6173,125500,1967,Pave
RL,9920,128000,1954,Pave
RL,13501,255000,2006,Pave
RL,11500,250000,1936,Pave
RL,8885,131000,1983,Pave
RL,12589,174000,2005,Pave
RL,11600,154300,1960,Pave
RL,9286,143500,1977,Pave
RM,6120,88000,1925,Pave
RH,6270,145000,1949,Pave
FV,3000,173733,2009,Pave
RM,2001,75000,1970,Pave
C (all),9000,35311,1949,Pave
RL,17140,135000,1956,Pave
RL,13125,238000,1991,Pave
RL,11029,176500,1958,Pave
RL,8462,201000,1994,Pave
RL,8777,145900,1900,Pave
RL,10237,169990,2005,Pave
RL,8012,193000,1993,Pave
RL,10240,207500,1980,Pave
RL,15611,175000,1977,Pave
RL,11999,285000,2003,Pave
RL,9900,176000,1968,Pave
RL,11838,236500,2001,Pave
RL,13006,222000,1997,Pave
RL,8925,201000,2007,Pave
RL,9100,117500,1965,Pave
RL,11670,320000,2006,Pave
RL,8487,190000,2004,Pave
RL,27650,242000,1960,Pave
RL,5825,79900,1926,Pave
RL,10083,184900,2003,Pave
RL,9675,253000,2005,Pave
RL,8760,239799,2006,Pave
RL,24090,244400,1940,Pave
RL,12640,150900,1976,Pave
RL,8755,214000,1999,Pave
RL,7711,150000,1977,Pave
RL,25000,143000,1967,Pave
RL,14375,137500,1958,Pave
RM,8820,124900,1890,Pave
RL,8163,143000,1959,Pave
RL,14536,270000,2002,Pave
RL,14006,192500,2002,Pave
RL,9360,197500,1972,Pave
RL,7200,129000,1950,Pave
RH,7800,119900,1965,Pave
RL,7200,133900,1972,Pave
RL,11075,172000,1969,Pave
RL,9400,127500,1975,Pave
RH,7136,145000,1946,Pave
RM,1300,124000,1980,Pave
RL,7420,132000,1962,Pave
RL,8450,185000,2003,Pave
FV,2572,155000,1999,Pave
RL,7207,116500,1958,Pave
RL,12227,272000,1977,Pave
RL,2308,155000,1976,Pave
RL,11923,239000,2007,Pave
RL,11316,214900,2002,Pave
RL,10237,178900,2005,Pave
RL,9600,160000,1940,Pave
RL,7390,135000,1955,Pave
RM,5925,37900,1910,Pave
RL,10382,140000,1958,Pave
RL,10800,135000,1949,Pave
RL,2268,173000,2003,Pave
RL,7892,99500,1979,Pave
FV,11639,182000,2007,Pave
RL,11414,167500,1910,Pave
FV,2651,165000,2000,Pave
RL,5900,85500,1923,Pave
FV,4274,199900,2006,Pave
RL,9450,110000,1954,Pave
RL,8816,139000,1963,Pave
RL,12122,178400,1961,Pave
RL,12203,336000,1998,Pave
RL,3182,159895,2007,Pave
RL,11250,255900,2002,Pave
RL,10125,126000,1977,Pave
RL,10880,125000,1950,Pave
RM,5310,117000,1910,Pave
RL,10159,395192,2009,Pave
RL,12046,195000,1976,Pave
FV,8125,197000,2006,Pave
RL,9452,348000,1997,Pave
RM,17671,168000,1882,Pave
RL,9760,187000,1964,Pave
RL,8846,173900,2005,Pave
RL,12456,337500,2006,Pave
RL,4712,121600,1946,Pave
RL,10659,136500,1961,Pave
RL,11717,185000,1970,Pave
RM,9786,91000,1922,Pave
RL,6762,206000,2006,Pave
RL,10206,82000,1952,Pave
RL,5400,86000,1920,Pave
RL,11957,232000,2006,Pave
RL,11500,136905,1976,Pave
RL,3182,181000,2005,Pave
RL,8385,149900,1977,Pave
RL,12155,163500,1970,Pave
RM,2217,88000,1970,Pave
RL,12118,240000,2004,Pave
RL,6000,102000,1926,Pave
RL,21286,135000,1948,Pave
RL,9825,100000,1965,Pave
RL,10592,165000,1923,Pave
RM,7200,85000,1910,Pave
RL,11664,119200,1948,Pave
RL,8400,227000,2001,Pave
RL,11883,203000,1996,Pave
RL,5814,187500,1984,Pave
RL,10784,160000,1991,Pave
RL,3013,213490,2005,Pave
RL,7024,176000,2005,Pave
RL,7406,194000,2006,Pave
RM,9439,87000,1930,Pave
RL,3182,191000,2005,Pave
RL,15498,287000,1976,Pave
RL,7700,112500,1972,Pave
RL,9300,167500,1960,Pave
RL,9520,293077,2007,Pave
RL,9492,105000,1941,Pave
RM,1680,118000,1972,Pave
RH,7082,160000,1916,Pave
RL,15863,197000,1920,Pave
RL,14541,310000,1993,Pave
RL,8125,230000,2002,Pave
RL,6305,119750,1938,Pave
RL,11500,84000,1957,Pave
RL,12898,315500,2007,Pave
RL,9240,287000,2001,Pave
RM,1533,97000,1970,Pave
RM,1477,80000,1970,Pave
RL,13125,155000,1957,Pave
RL,9130,173000,1966,Pave
RL,5381,196000,2005,Pave
RL,11839,262280,1990,Pave
RL,9600,278000,1981,Pave
RL,13680,139600,1955,Pave
RL,16056,556581,2005,Pave
RL,9245,145000,1994,Pave
RL,21750,115000,1960,Pave
RL,11100,84900,1946,Pave
RL,8993,176485,2007,Pave
RL,11175,200141,2007,Pave
RL,9500,165000,1964,Pave
RL,8562,144500,1957,Pave
RL,11367,255000,2002,Pave
RL,11361,180000,1976,Pave
RL,7052,185850,2005,Pave
RL,29959,248000,1994,Pave
RL,11308,335000,2008,Pave
RL,11275,220000,1932,Pave
RL,4920,213500,2001,Pave
C (all),18000,81000,1935,Grvl
RM,13600,90000,1900,Pave
RM,6000,110500,1925,Pave
RL,11000,154000,1966,Pave
RL,14000,328000,1996,Pave
RL,7837,178000,1993,Pave
RL,9760,167900,1964,Pave
RM,3964,151400,1973,Pave
RL,9600,135000,1949,Pave
RL,10152,135000,1956,Pave
RL,11700,154000,1968,Pave
RL,7585,91500,1948,Pave
RL,7950,159500,1977,Pave
RL,8556,194000,2006,Pave
RL,13125,219500,1940,Pave
RL,10800,170000,1936,Pave
RL,15870,138800,1969,Pave
RM,4435,155900,2004,Pave
RL,8775,126000,1994,Pave
RL,11040,145000,1971,Pave
RL,7500,133000,1963,Pave
RL,8749,192000,2002,Pave
RL,8800,160000,1964,Pave
RL,13031,187500,1995,Pave
RL,9069,147000,1992,Pave
RM,1974,83500,1973,Pave
FV,10574,252000,2005,Pave
RM,2522,137500,2004,Pave
FV,3316,197000,2005,Pave
RL,8544,92900,1950,Pave
FV,2160,160000,1999,Pave
RL,8400,136500,1925,Pave
RL,9230,146000,1965,Pave
RL,5868,129000,1956,Pave
RL,9317,176432,2006,Pave
RM,6882,127000,1914,Pave
RL,3696,170000,1986,Pave
RM,6000,128000,1936,Pave
RL,11880,157000,1978,Pave
RL,8400,60000,1920,Pave
RL,9758,119500,1971,Pave
RL,7000,135000,1960,Pave
RL,8910,159500,1959,Pave
RM,2016,106000,1970,Pave
RL,12256,325000,1994,Pave
RL,10357,179900,1990,Pave
RL,23257,274725,2006,Pave
RL,8063,181000,2000,Pave
RL,11362,280000,2004,Pave
RL,8000,188000,1995,Pave
RL,10480,205000,1976,Pave
RL,7100,129900,1957,Pave
RL,8923,134500,1953,Pave
RL,5400,117000,1954,Pave
RL,12085,318000,2007,Pave
RL,7750,184100,2002,Pave
RL,9764,130000,1967,Pave
RL,13825,140000,1958,Pave
RL,7560,133700,1959,Pave
RM,8263,118400,1920,Pave
RL,10084,212900,2005,Pave
RL,8926,112000,1956,Pave
RL,9405,118000,1947,Pave
RL,9125,163900,1992,Pave
RL,10434,115000,1955,Pave
RL,3684,174000,2007,Pave
RL,14572,259000,2004,Pave
RL,11796,215000,2004,Pave
RM,7200,140000,1980,Pave
RL,7804,135000,1928,Pave
RL,10712,93500,1991,Pave
RM,9900,117500,1880,Pave
RL,9828,239500,1995,Pave
RL,8773,169000,1997,Pave
RM,6180,102000,1926,Pave
RL,9600,119000,1950,Pave
RL,6342,94000,1875,Pave
RL,9819,196000,1977,Pave
RL,8731,144000,1920,Pave
RL,7350,139000,1951,Pave
RL,10304,197500,1976,Pave
RL,9965,424870,2006,Pave
RL,9000,80000,1959,Pave
RL,12180,80000,1941,Pave
RM,6240,149000,1928,Pave
RL,11200,180000,1985,Pave
RL,12000,174500,1941,Pave
RM,5700,116900,1926,Pave
RM,9000,143000,1920,Pave
RL,8280,124000,1950,Pave
RL,17755,149900,1959,Pave
RL,14115,230000,1956,Pave
RM,5890,120500,1930,Pave
RL,13700,201800,1965,Pave
RL,10768,218000,1976,Pave
RL,9350,179900,1965,Pave
RL,5001,230000,2007,Pave
RL,11932,235128,2007,Pave
RL,9120,185000,1974,Pave
RL,2280,146000,1978,Pave
RL,14778,224000,1954,Pave
RL,8724,129000,1968,Pave
RL,12900,108959,1969,Pave
RL,16157,194000,1978,Pave
RL,9541,233170,2009,Pave
RL,10475,245350,2008,Pave
RL,10852,173000,2000,Pave
RL,13728,235000,1935,Pave
RL,35760,625000,1995,Pave
RL,9880,171000,1977,Pave
RL,9120,163000,1958,Pave
FV,4017,171900,2006,Pave
RL,18030,200500,1946,Pave
RL,16560,239000,1932,Pave
RL,10678,285000,1992,Pave
RL,6951,119500,1984,Pave
RM,3950,115000,1926,Pave
RL,7681,154900,1921,Pave
RL,8335,93000,1954,Pave
RL,11170,250000,1990,Pave
RM,5587,392500,2008,Pave
RL,15623,745000,1996,Pave
RL,10800,120000,1920,Pave
RL,35133,186700,1963,Grvl
RL,9738,104900,1924,Pave
RL,10615,95000,1900,Pave
RL,12461,262000,1994,Pave
RL,8935,195000,2002,Pave
RL,7500,189000,1999,Pave
RL,32463,168000,1961,Pave
FV,2645,174000,1999,Pave
RM,9600,125000,1925,Pave
RM,4500,165000,1999,Pave
RL,9364,158000,1969,Pave
RL,8029,176000,2005,Pave
RL,14054,219210,2006,Pave
RM,8850,144000,1916,Pave
RL,9100,178000,2001,Pave
RL,11235,148000,1963,Pave
RL,9353,116050,1970,Pave
RL,10400,197900,1998,Pave
RM,6000,117000,1925,Pave
RL,9750,213000,2000,Pave
RL,10140,153500,1975,Pave
RL,14684,271900,1990,Pave
RH,8900,107000,1966,Pave
RL,9135,200000,2003,Pave
RL,7763,140000,1962,Pave
RL,10182,290000,2006,Pave
RL,11218,189000,1992,Pave
RL,12134,164000,1988,Pave
RL,9340,113000,1941,Pave
RL,10246,145000,1965,Pave
RL,10205,134500,1962,Pave
RL,7094,125000,1966,Pave
RM,8930,112000,1978,Pave
FV,8640,229456,2009,Pave
RM,6240,80500,1947,Pave
RM,1680,91500,1971,Pave
RL,7800,115000,1964,Pave
RL,8250,134000,1968,Pave
RL,10496,143000,1949,Pave
RL,10680,137900,1951,Pave
RL,15384,184000,2004,Pave
RL,10482,145000,1958,Pave
RL,14598,214000,2007,Pave
RL,8872,147000,1965,Pave
RL,8769,367294,2008,Pave
RL,7910,127000,1960,Pave
RL,18890,190000,1977,Pave
RL,7728,132500,1962,Pave
RL,9842,101800,1962,Pave
RL,12160,142000,1959,Pave
RH,8525,130000,1911,Pave
RL,13132,138887,1914,Pave
RL,2628,175500,2003,Pave
RL,12393,195000,2004,Pave
RL,13072,142500,2005,Pave
RL,9037,265900,2006,Pave
RL,8158,224900,2003,Pave
RL,9849,248328,2007,Pave
RL,10625,170000,1974,Pave
RL,13891,465000,2006,Pave
RL,11435,230000,1929,Pave
RL,12090,178000,1984,Pave
FV,8125,186500,2005,Pave
RL,12328,169900,1976,Pave
RM,9600,129500,1917,Pave
RL,7200,119000,1950,Pave
RL,11160,244000,1968,Pave
RL,3136,171750,2003,Pave
RL,9858,130000,1968,Pave
RL,17542,294000,1974,Pave
RL,6931,165400,2003,Pave
RM,6240,127500,1931,Pave
RL,14303,301500,1994,Pave
RL,4060,99900,1922,Pave
RL,9587,190000,2005,Pave
RL,9750,151000,1969,Pave
RL,24682,181000,1999,Pave
RL,9600,128900,1956,Pave
RL,11250,161500,1957,Pave
RL,13515,180500,1919,Pave
RH,4060,181000,1998,Pave
FV,3735,183900,1999,Pave
RM,10120,122000,1910,Pave
RL,13214,378500,2008,Pave
RL,14100,381000,1935,Pave
RL,11344,144000,1958,Pave
RL,23595,260000,1979,Pave
RL,9156,185750,1968,Pave
RL,13526,137000,1965,Pave
RL,11512,177000,1959,Pave
RL,5362,139000,1910,Pave
RL,11345,137000,1948,Pave
RL,12936,162000,1972,Pave
RL,17871,197900,1967,Pave
RL,9473,237000,2002,Pave
C (all),7500,68400,1920,Pave
RL,9808,227000,2002,Pave
RL,8049,180000,1990,Pave
RL,8800,150500,1977,Pave
RL,9400,139000,1971,Pave
RL,9638,169000,1919,Pave
RM,6000,132500,1939,Pave
RL,9790,143000,1963,Pave
RL,36500,190000,1964,Pave
RL,5664,278000,2000,Pave
RL,11065,281000,2006,Pave
RL,14112,180500,1964,Pave
RM,1680,119500,1972,Pave
RM,6600,107500,1892,Pave
RL,10140,162900,1976,Pave
RL,8172,115000,1955,Pave
RL,8400,138500,1968,Pave
RL,8700,155000,1963,Pave
RM,3675,140000,2005,Pave
RL,63887,160000,2008,Pave
RL,7500,154000,1959,Pave
RL,10762,225000,1999,Pave
RL,7500,177500,1942,Pave
RL,10120,290000,1994,Pave
RL,8688,232000,2005,Pave
RM,3363,130000,2004,Pave
RL,13173,325000,2006,Pave
RL,6955,202500,2005,Pave
RL,8072,138000,1994,Pave
RM,12000,147000,1948,Pave
RL,7153,179200,1991,Pave
RL,17500,335000,1959,Pave
RL,8814,203000,2005,Pave
RL,9572,302000,1990,Pave
RL,14774,333168,1999,Pave
RL,8190,119000,1954,Pave
RL,11075,206900,1969,Pave
RL,10226,295493,2008,Pave
FV,4230,208900,2006,Pave
RL,14781,275000,2001,Pave
RL,10215,111000,1954,Pave
RL,8400,156500,1957,Pave
RL,6627,72500,1949,Pave
RL,10186,190000,1992,Pave
RL,5330,82500,1940,Pave
RL,9986,147000,2006,Pave
RM,3636,55000,1922,Pave
RH,4270,79000,1931,Pave
RL,6600,130500,1982,Pave
RM,10440,256000,1920,Pave
RL,9084,176500,1998,Pave
RL,10000,227000,2006,Pave
RL,10780,132500,1976,Pave
RL,8877,100000,1938,Pave
RM,7200,125500,1938,Pave
RM,2368,125000,1970,Pave
RL,9650,167900,1977,Pave
RL,9246,135000,1973,Pave
RM,4118,52500,1941,Pave
RL,13450,200000,2002,Pave
RL,9560,128500,1972,Pave
RL,8294,123000,1971,Pave
RL,13695,155000,2003,Pave
RL,9375,228500,2002,Pave
RL,7558,177000,1928,Pave
RL,11103,155835,2006,Pave
RM,6000,108500,1920,Pave
RL,20781,262500,1968,Pave
RL,15306,283463,2006,Pave
RL,16196,215000,1998,Pave
RM,5250,122000,1872,Pave
RL,11643,200000,1969,Pave
RL,9247,171000,1962,Pave
RM,6000,134900,1937,Pave
RL,14720,410000,1995,Pave
RL,10316,235000,2000,Pave
RL,10192,170000,1968,Pave
RL,9477,110000,1966,Pave
RL,12537,149900,1971,Pave
FV,2117,177500,2000,Pave
RL,16737,315000,2004,Pave
RL,9842,189000,1921,Pave
RL,16158,260000,2005,Pave
RL,12513,104900,1920,Pave
RL,8499,156932,2006,Pave
FV,3180,144152,2005,Pave
FV,7500,216000,2000,Pave
RL,9179,193000,1999,Pave
RM,2665,127000,1977,Pave
RM,4435,144000,2003,Pave
RL,10635,232000,2003,Pave
RL,5400,105000,1920,Pave
RL,9600,165500,1955,Pave
RL,9750,274300,1998,Pave
RL,11400,466500,2001,Pave
FV,10625,250000,2005,Pave
RL,10991,239000,2007,Pave
RL,6292,91000,1930,Pave
RL,10998,117000,1941,Pave
RM,1953,83000,1973,Pave
RL,9735,167500,2006,Pave
RL,8212,58500,1914,Pave
RL,12925,237500,1970,Pave
RM,7200,157000,1920,Pave
RL,25339,112000,1918,Pave
RL,9060,105000,1939,Pave
RM,5436,125500,1922,Pave
RL,16692,250000,1978,Pave
RM,8520,136000,1916,Pave
RL,14892,377500,2006,Pave
RM,6000,131000,1941,Pave
RL,9100,235000,2000,Pave
RL,8944,124000,1967,Pave
RL,7838,123000,1967,Pave
RM,10800,163000,1905,Pave
RL,4045,246578,2006,Pave
RL,12665,281213,2005,Pave
RL,57200,160000,1948,Pave
RM,6120,137500,1920,Pave
RL,7200,138000,1950,Pave
RL,6171,137450,1925,Pave
RM,6000,120000,1929,Pave
RL,7415,193000,2004,Pave
RL,6762,193879,2006,Pave
RL,15256,282922,2007,Pave
RL,10410,105000,1915,Pave
RM,3842,275000,2004,Pave
RL,8445,133000,1972,Pave
RL,8780,112000,1985,Pave
RM,7740,125500,1910,Pave
RL,20544,215000,1986,Pave
RL,12420,230000,2001,Pave
RL,9600,140000,1950,Pave
RL,7200,90000,1949,Pave
RL,10994,257000,2005,Pave
RL,13053,207000,1923,Pave
RL,3635,175900,2007,Pave
RM,11340,122500,1885,Pave
RL,16545,340000,1998,Pave
RL,9204,124000,1963,Pave
RL,16381,223000,1969,Pave
RL,11700,179900,1968,Pave
RL,4043,127500,1977,Pave
RM,4435,136500,2003,Pave
RL,19690,274970,1966,Pave
RL,9503,144000,1958,Pave
RL,10721,142000,1959,Pave
RL,10944,271000,1994,Pave
RL,10930,140000,1945,Pave
RM,7200,119000,1940,Pave
RL,12546,182900,1981,Pave
RL,21930,192140,2005,Pave
RL,4928,143750,1976,Pave
RL,10800,64500,1927,Pave
RL,10261,186500,2000,Pave
RL,17400,160000,1977,Pave
RL,8400,174000,1962,Pave
RL,9000,120500,1971,Pave
RL,12444,394617,2008,Pave
RM,7407,149700,1957,Pave
RL,11584,197000,1979,Pave
RL,11526,191000,1922,Pave
RM,4426,149300,2004,Pave
FV,11003,310000,2008,Pave
RL,8854,121000,1916,Pave
RL,8500,179600,2004,Pave
RL,8400,129000,1966,Pave
RL,26142,157900,1962,Pave
RL,10000,240000,1995,Pave
RL,11767,112000,1910,Pave
RM,1533,92000,1970,Pave
RL,9000,136000,1974,Pave
RL,9262,287090,2008,Pave
RM,3675,145000,2005,Pave
RL,17217,84500,2006,Pave
FV,7500,185000,2004,Pave
RL,7917,175000,1999,Pave
RL,13175,210000,1978,Pave
RL,9042,266500,1941,Pave
RL,9717,142125,1950,Pave
RL,9937,147500,1965,Pave
