MSZoning,LotArea,Street,YearBuilt,SalePrice
RL,8450,Pave,2003,208500
RL,9600,Pave,1976,181500
RL,11250,Pave,2001,223500
RL,9550,Pave,1915,140000
RL,14260,Pave,2000,250000
RL,14115,Pave,1993,143000
RL,10084,Pave,2004,307000
RL,10382,Pave,1973,200000
RM,6120,Pave,1931,129900
RL,7420,Pave,1939,118000
RL,11200,Pave,1965,129500
RL,11924,Pave,2005,345000
RL,12968,Pave,1962,144000
RL,10652,Pave,2006,279500
RL,10920,Pave,1960,157000
RM,6120,Pave,1929,132000
RL,11241,Pave,1970,149000
RL,10791,Pave,1967,90000
RL,13695,Pave,2004,159000
RL,7560,Pave,1958,139000
RL,14215,Pave,2005,325300
RM,7449,Pave,1930,139400
RL,9742,Pave,2002,230000
RM,4224,Pave,1976,129900
RL,8246,Pave,1968,154000
RL,14230,Pave,2007,256300
RL,7200,Pave,1951,134800
RL,11478,Pave,2007,306000
RL,16321,Pave,1957,207500
RM,6324,Pave,1927,68500
C (all),8500,Pave,1920,40000
RL,8544,Pave,1966,149350
RL,11049,Pave,2007,179900
RL,10552,Pave,1959,165500
RL,7313,Pave,2005,277500
RL,13418,Pave,2004,309000
RL,10859,Pave,1994,145000
RL,8532,Pave,1954,153000
RL,7922,Pave,1953,109000
RL,6040,Pave,1955,82000
RL,8658,Pave,1965,160000
RL,16905,Pave,1959,170000
RL,9180,Pave,1983,144000
RL,9200,Pave,1975,130250
RL,7945,Pave,1959,141000
RL,7658,Pave,2005,319900
RL,12822,Pave,2003,239686
FV,11096,Pave,2006,249700
RM,4456,Pave,1920,113000
RL,7742,Pave,1966,127000
RL,13869,Pave,1997,177000
RM,6240,Pave,1934,114500
RM,8472,Grvl,1963,110000
RL,50271,Pave,1981,385000
RL,7134,Pave,1955,130000
RL,10175,Pave,1964,180500
FV,2645,Pave,1999,172500
RL,11645,Pave,2004,196500
RL,13682,Pave,2006,438780
RL,7200,Pave,1972,124900
RL,13072,Pave,2004,158000
RM,7200,Pave,1920,101000
RL,6442,Pave,2006,202500
RM,10300,Pave,1921,140000
RL,9375,Pave,1997,219500
RL,9591,Pave,2004,317000
RL,19900,Pave,1970,180000
RL,10665,Pave,2003,226000
RM,4608,Pave,1945,80000
RL,15593,Pave,1953,225000
RL,13651,Pave,1973,244000
RL,7599,Pave,1982,129500
RL,10141,Pave,1998,185000
RL,10200,Pave,1954,144900
RM,5790,Pave,1915,107400
RM,1596,Pave,1973,91000
RL,8475,Pave,1956,135750
RM,8635,Pave,1948,127000
RL,10778,Pave,1968,136500
RM,10440,Pave,1910,110000
RL,13000,Pave,1968,193500
RM,4500,Pave,1998,153500
RL,10206,Pave,2007,245000
RL,8892,Pave,1960,126500
RL,8530,Pave,1995,168500
RL,16059,Pave,1991,260000
RL,11911,Pave,2005,174000
FV,3951,Pave,2009,164500
C (all),8470,Pave,1915,85000
RL,8070,Pave,1994,123600
RL,7200,Pave,1950,109900
RL,8500,Pave,1961,98600
RL,13360,Pave,1921,163500
C (all),7200,Pave,1910,133900
RL,9337,Pave,1997,204750
RL,9765,Pave,1993,185000
RL,10264,Pave,1999,214000
RL,10921,Pave,1965,94750
RL,10625,Pave,1920,83000
RL,9320,Pave,1959,128950
RL,10603,Pave,1977,205000
RL,9206,Pave,1985,178000
RL,7018,Pave,1979,118964
RL,10402,Pave,2009,198900
RM,7758,Pave,1931,169500
FV,9375,Pave,2003,250000
RM,10800,Pave,1885,100000
RM,6000,Pave,1948,115000
RM,8500,Pave,1919,115000
RL,11751,Pave,1977,190000
RL,9525,Pave,1954,136900
RL,7750,Pave,2000,180000
RL,9965,Pave,2007,383970
RL,21000,Pave,1953,217000
RL,7259,Pave,1945,259500
FV,3230,Pave,1999,176000
RL,11616,Pave,1962,139000
RL,8536,Pave,2006,155000
RL,12376,Pave,1990,320000
RL,8461,Pave,2005,163990
RL,21453,Pave,1969,180000
RM,6060,Pave,1939,100000
RL,9464,Pave,1958,136000
RL,7892,Pave,1993,153900
RL,17043,Pave,1979,181000
RM,6780,Pave,1935,84500
RL,4928,Pave,1976,128000
RM,4388,Pave,1930,87000
RL,7590,Pave,1966,155000
RL,8973,Pave,1958,150000
RL,14200,Pave,1966,226000
RL,12224,Pave,2000,244000
RL,7388,Pave,1959,150750
RL,6853,Pave,2001,220000
RL,10335,Pave,1968,180000
RL,10400,Pave,1970,174000
RL,10355,Pave,1967,143000
RL,11070,Pave,1988,171000
RL,9066,Pave,1999,230000
RL,15426,Pave,1997,231500
RL,10500,Pave,1971,115000
RL,11645,Pave,2005,260000
RL,8520,Pave,1952,166000
RL,10335,Pave,1999,204000
RM,9100,Pave,1963,125000
RM,2522,Pave,2004,130000
RM,6120,Pave,1931,105000
RL,9505,Pave,2001,222500
RL,7500,Pave,2004,141000
RM,6240,Pave,1936,115000
RL,10356,Pave,1975,122000
RL,13891,Pave,2007,372402
RL,14803,Pave,1971,190000
RL,13500,Pave,1960,235000
RM,11340,Pave,1923,125000
RL,9600,Pave,1924,79000
RL,7200,Pave,1950,109500
RL,12003,Pave,2009,269500
FV,12552,Pave,2004,254900
RL,19378,Pave,2005,320000
RL,11120,Pave,1984,162500
RL,13688,Pave,2003,412500
RL,12182,Pave,2005,220000
RL,5500,Pave,1956,103200
RM,5400,Pave,1926,152000
RL,10106,Pave,1940,127500
RL,10708,Pave,1955,190000
RL,10562,Pave,2007,325624
RL,8244,Pave,2004,183500
RL,16669,Pave,1981,228000
RM,12358,Pave,1941,128500
RL,31770,Pave,1960,215000
RL,5306,Pave,1987,239000
RL,10197,Pave,1961,163000
RL,12416,Pave,1986,184000
RL,12615,Pave,1950,243000
RL,10029,Pave,1988,211000
RL,13650,Pave,1958,172500
RL,17423,Pave,2008,501837
RM,8520,Pave,1923,100000
FV,2117,Pave,2000,177000
RL,7588,Pave,1920,200100
RL,9060,Pave,1957,120000
RM,11426,Pave,2003,200000
RL,7438,Pave,1908,127000
RM,22950,Pave,1892,475000
RL,9947,Pave,1990,173000
RL,10410,Pave,1916,135000
RL,7018,Pave,1979,153337
RL,4923,Pave,2001,286000
RL,10570,Pave,1932,315000
RL,7472,Pave,1972,184000
RL,9017,Pave,1999,192000
RM,2522,Pave,2004,130000
RL,7180,Pave,1972,127000
RL,2280,Pave,1976,148500
RL,9416,Pave,2007,311872
RL,25419,Pave,1918,235000
RM,5520,Pave,1912,104000
RL,9591,Pave,2004,274900
RM,8546,Pave,2003,140000
RL,10125,Pave,1977,171500
RL,7000,Pave,1924,112000
RM,4438,Pave,2004,149000
RM,3500,Pave,1947,110000
RL,11851,Pave,1990,180500
RL,13673,Pave,1962,143900
RL,12493,Pave,1960,141000
RL,14364,Pave,1988,277000
RL,8250,Pave,1964,145000
RL,5604,Pave,1925,98000
RL,10420,Pave,2009,186000
FV,8640,Pave,2009,252678
RL,13568,Pave,1995,156000
RL,10900,Pave,1977,161750
RL,10011,Pave,1957,134450
RL,8450,Pave,2004,210000
RM,9906,Pave,1925,107000
RL,15660,Pave,1939,311500
RL,3010,Pave,2005,167240
RL,8990,Pave,2006,204900
RL,8068,Pave,2002,200000
RL,11475,Pave,1975,179900
RL,10500,Pave,1971,97000
RL,13472,Pave,2003,386250
RM,1680,Pave,1971,112000
RL,9950,Pave,1995,290000
RM,1869,Pave,1970,106000
RL,8521,Pave,1967,125000
RL,3182,Pave,2005,192500
RL,8760,Pave,1959,148000
RL,15138,Pave,1995,403000
RM,1680,Pave,1972,94500
RL,10650,Pave,1976,128200
RL,7851,Pave,2002,216500
RM,1680,Pave,1971,89500
RL,8773,Pave,2004,185500
RL,9453,Pave,1993,194500
RL,12030,Pave,2007,318000
RL,8741,Pave,1945,113000
FV,9000,Pave,2008,262500
RM,3880,Pave,1945,110500
RM,5000,Pave,1900,79000
RL,10762,Pave,1980,120000
RL,8880,Pave,1994,205000
RL,10400,Pave,1988,241500
RM,9142,Pave,1910,137000
RL,11310,Pave,1954,140000
RL,11317,Pave,2003,180000
RL,159000,Pave,1958,277000
RL,5350,Pave,1940,76500
RM,4750,Pave,2006,235000
RL,8366,Pave,2004,173000
RL,9350,Pave,1964,158000
RL,8400,Pave,1957,145000
RL,8738,Pave,1999,230000
FV,8791,Pave,2003,207500
RL,8814,Pave,2006,220000
RL,12435,Pave,2001,231500
RM,12702,Pave,1956,97000
RL,19296,Pave,1962,176000
RL,9588,Pave,2007,276000
RL,8471,Pave,1977,151000
RM,5500,Pave,1929,130000
RM,5232,Pave,1925,73000
RL,12090,Pave,1981,175500
RL,11207,Pave,1997,185000
RL,8400,Pave,1939,179500
RM,6900,Pave,1940,120500
RL,7917,Pave,1976,148000
FV,10728,Pave,2006,266000
RL,39104,Pave,1954,241500
RL,11764,Pave,1999,290000
RL,9600,Pave,1958,139000
RL,8314,Pave,1982,124500
RL,7264,Pave,1925,205000
RL,9196,Pave,2003,201000
RL,19138,Pave,1951,141000
RL,14450,Pave,2006,415298
RL,10005,Pave,1977,192000
RL,11287,Pave,1989,228500
FV,7200,Pave,2006,185000
RL,5063,Pave,2007,207500
RL,9612,Pave,2008,244600
RL,8012,Pave,1992,179200
FV,4251,Pave,2006,164700
RL,9786,Pave,1962,159000
RL,8125,Pave,1971,88000
RL,9819,Pave,1967,122000
RL,8730,Pave,1915,153575
RL,15611,Pave,2006,233230
RL,5687,Pave,1912,135900
RL,11409,Pave,1949,131000
RL,16659,Pave,1977,235000
RL,9600,Pave,1953,167000
RL,7937,Pave,1984,142500
RM,13710,Pave,1950,152000
FV,7399,Pave,1997,239000
RL,11700,Pave,1968,175000
RL,14000,Pave,1950,158500
RL,15750,Pave,1953,157000
RL,16226,Pave,1998,267000
RL,13704,Pave,2001,205000
RL,9800,Pave,1972,149900
RM,18386,Pave,1880,295000
RL,10386,Pave,2004,305900
RL,13474,Pave,1990,225000
RM,7920,Pave,1920,89500
RL,12342,Pave,1940,82500
RL,12378,Pave,2003,360000
RL,7685,Pave,1993,165600
RL,8000,Pave,1948,132000
RM,7800,Pave,1939,119900
RL,215245,Pave,1965,375000
RM,9600,Pave,1925,178000
RL,7795,Pave,2004,188500
RL,13005,Pave,1980,260000
FV,9000,Pave,2006,270000
RL,9900,Pave,1993,260000
RL,14115,Pave,1980,187500
RL,16259,Pave,2006,342643
RL,12099,Pave,2004,354000
RL,10380,Pave,1986,301000
RM,5820,Pave,1955,126175
RL,11275,Pave,1967,242000
RM,5000,Pave,1941,87000
RL,10846,Pave,1993,324000
RL,11600,Pave,1960,145250
RL,11888,Pave,1916,214500
RM,6402,Pave,1920,78000
RL,10624,Pave,1964,119000
RL,8176,Pave,1958,139000
RL,10655,Pave,2003,284000
RM,8198,Pave,2004,207000
RL,9042,Pave,1998,192000
RL,164660,Grvl,1965,228950
RL,14157,Pave,2005,377426
RL,9135,Pave,2002,214000
RL,14145,Pave,1984,202500
RL,12400,Pave,1958,155000
RL,14191,Pave,2002,202900
RH,8400,Pave,1950,82000
RL,8544,Pave,1949,87500
RL,8849,Pave,2005,266000
RM,2592,Pave,1976,85000
RL,6435,Pave,1939,140200
RL,12772,Pave,1960,151500
RL,17600,Pave,1960,157500
RL,2448,Pave,2003,154000
RL,20431,Pave,2005,437154
RL,7820,Pave,2007,318061
RL,5271,Pave,1986,190000
RL,9084,Pave,1941,95000
RM,8520,Pave,1928,105900
RL,8400,Pave,1940,140000
RL,11249,Pave,1995,177500
RL,9248,Pave,1992,173000
RM,4224,Pave,1976,134000
RL,6930,Pave,1958,130000
RL,12011,Pave,1998,280000
RL,7540,Pave,1978,156000
RL,9144,Pave,1940,145000
RL,7301,Pave,2003,198500
RM,1680,Pave,1972,118000
RL,18800,Pave,1976,190000
RM,10690,Pave,1920,147000
RL,9500,Pave,1963,159000
RL,9150,Pave,1962,165000
RL,7800,Pave,1954,132000
RL,9830,Pave,1959,162000
RL,8121,Pave,2000,172400
RL,17120,Pave,1959,134432
RL,7175,Pave,1984,125000
RL,10634,Pave,1953,123000
RL,8200,Pave,2003,219500
RL,10020,Pave,1922,61000
RL,8846,Pave,1996,148000
FV,11143,Pave,2004,340000
RL,11394,Pave,2010,394432
RL,8123,Pave,2000,179000
RL,5000,Pave,1924,127000
FV,7200,Pave,2006,187750
RL,9245,Pave,2006,213500
RH,9000,Pave,1928,76000
RL,53107,Pave,1992,240000
RL,3182,Pave,2004,192000
RL,8410,Pave,1910,81000
RL,7200,Pave,1976,125000
RL,9382,Pave,1999,191000
RL,12474,Pave,2007,426000
RL,8405,Pave,1900,119000
RL,12209,Pave,2001,215000
RL,8339,Pave,1959,106500
RL,7446,Pave,1941,100000
RL,10134,Pave,1940,109000
RL,9571,Pave,1956,129000
RL,7200,Pave,1972,123000
RL,7590,Pave,1962,169500
RM,8967,Pave,1920,67000
FV,8125,Pave,2006,241000
RL,14963,Pave,1996,245500
RL,8767,Pave,2005,164990
RL,10200,Pave,1940,108000
RL,12090,Pave,1998,258000
RL,10364,Pave,1995,168000
RL,9991,Pave,1976,150000
RL,10480,Pave,1936,115000
RL,15576,Pave,1915,177000
RL,14154,Pave,2006,280000
FV,10800,Pave,2007,339750
RL,9571,Pave,1958,60000
RL,34650,Pave,1955,145000
FV,4403,Pave,2009,222000
RM,8960,Pave,1927,115000
RL,11228,Pave,1993,228000
RL,8899,Pave,2007,181134
RL,7844,Pave,1978,149500
RL,22420,Pave,1918,239000
RL,8160,Pave,1940,126000
RL,8450,Pave,1968,142000
RM,7060,Pave,1997,206300
RL,16635,Pave,1977,215000
RL,21750,Pave,1954,113000
RL,9200,Pave,1998,315000
RL,9000,Pave,1956,139000
RM,3378,Pave,1946,135000
RL,12800,Pave,1989,275000
RL,8593,Pave,1957,109008
RL,6762,Pave,2007,195400
RL,11457,Pave,1988,175000
RM,1680,Pave,1971,85400
RM,5586,Pave,1920,79900
RM,1920,Pave,1971,122500
RL,10839,Pave,1997,181000
RM,1890,Pave,1972,81000
RL,10667,Pave,1996,212000
RM,4400,Pave,1920,116000
RM,6000,Pave,1926,119000
RL,4280,Pave,1913,90350
RL,12354,Pave,1920,110000
RL,15431,Pave,2008,555000
RL,12108,Pave,1955,118000
RM,6240,Pave,1930,162900
RL,3922,Pave,2006,172500
RL,8750,Pave,1994,210000
RL,9855,Pave,1956,127500
RL,16492,Pave,1966,190000
RL,11214,Pave,1998,199900
RM,8600,Pave,1937,119500
RM,6000,Pave,1948,120000
RM,5684,Pave,1930,110000
RL,70761,Pave,1975,280000
RL,9303,Pave,1996,204000
FV,9000,Pave,2008,210000
RL,9297,Pave,1976,188000
RL,9600,Pave,1973,175500
RM,4571,Pave,1916,98000
RL,53227,Pave,1954,256000
RM,5100,Pave,1925,161000
RL,7015,Pave,1950,110000
FV,8004,Pave,2009,263435
RL,7200,Pave,1936,155000
RL,8281,Pave,1965,62383
RL,11988,Pave,1934,188700
RL,8430,Pave,1978,124000
RM,3072,Pave,2004,178740
RL,10628,Pave,1970,167000
RL,9480,Pave,1942,146500
RL,11428,Pave,2006,250000
RL,9291,Pave,1993,187000
RL,6820,Pave,1985,212000
RL,11952,Pave,1977,190000
RM,3675,Pave,2005,148000
RL,14977,Pave,2006,440000
RL,5330,Pave,2000,251000
RL,8480,Pave,1963,132500
RL,13125,Pave,1997,208900
RL,13693,Pave,2006,380000
RL,10637,Pave,2007,297000
RM,5925,Pave,1937,89471
RL,16033,Pave,2004,326000
RL,11846,Pave,2003,374000
RM,2500,Pave,1915,155000
RM,4500,Pave,1998,164000
RL,7758,Pave,1962,132500
RL,9600,Pave,1950,147000
RL,10289,Pave,1965,156000
RL,12243,Pave,1971,175000
RL,10800,Pave,1900,160000
RM,1526,Pave,1970,86000
RM,2665,Pave,1976,115000
RL,9490,Pave,1941,133000
RL,15578,Pave,2006,172785
RL,7931,Pave,1960,155000
RM,5784,Pave,1938,91300
C (all),7879,Pave,1920,34900
RL,12692,Pave,1992,430000
RL,9120,Pave,1925,184000
RL,7800,Pave,1967,130000
RL,7535,Pave,1958,120000
RM,1890,Pave,1973,113000
FV,9803,Pave,2005,226700
RL,9170,Pave,1965,140000
RL,15602,Pave,1959,289000
RL,2308,Pave,1974,147000
RM,7596,Pave,1952,124500
RL,9554,Pave,1993,215000
FV,7862,Pave,2009,208300
RM,9600,Pave,1928,161000
RL,9600,Pave,1959,124500
RL,14559,Pave,1951,164900
RL,6792,Pave,2005,202665
RL,9100,Pave,1958,129900
RL,9187,Pave,1983,134000
RL,10594,Pave,1926,96500
RL,12220,Pave,2009,402861
RL,10448,Pave,1972,158000
RL,10208,Pave,1996,265000
RL,9531,Pave,1998,211000
RL,10918,Pave,1926,234000
RL,10800,Pave,1900,106250
RL,11988,Pave,1957,150000
RM,5000,Pave,1947,159000
RL,40094,Pave,2007,184750
RL,11787,Pave,1996,315750
FV,7500,Pave,2005,176000
RL,13300,Pave,1956,132000
RL,14948,Pave,2008,446261
RL,9098,Pave,1920,86000
RL,32668,Pave,1957,200624
RL,10200,Pave,1988,175000
RM,6155,Pave,1920,128000
RL,7200,Pave,1955,107500
RL,5000,Pave,1946,39300
RL,9056,Pave,2004,178000
RL,7000,Pave,1910,107500
RL,8924,Pave,1998,188000
RL,12735,Pave,1972,111250
RL,11553,Pave,1968,158000
RL,11423,Pave,2001,272000
RL,14601,Pave,2006,315000
RL,11000,Pave,2000,248000
RL,10140,Pave,1998,213250
RH,4058,Pave,1998,133000
RL,17104,Pave,2006,179665
RL,13837,Pave,1988,229000
RL,8737,Pave,1923,210000
RL,7244,Pave,1970,129500
RM,8235,Pave,1955,125000
FV,9375,Pave,2003,263000
RL,4043,Pave,1977,140000
RM,6000,Pave,1957,112500
RL,11146,Pave,2006,255500
RL,8777,Pave,1949,108000
RL,10625,Pave,2003,284000
RM,6380,Pave,1922,113000
RL,14850,Pave,1957,141000
C (all),11040,Pave,1920,108000
RL,21872,Pave,1996,175000
RL,3196,Pave,2003,234000
RL,11341,Pave,1957,121500
RL,10010,Pave,1974,170000
RL,13907,Pave,1940,108000
RL,21780,Pave,1918,185000
RL,13346,Pave,1992,268000
RL,6858,Pave,1915,128000
RL,11198,Pave,2005,325000
RL,10171,Pave,2004,214000
RL,12327,Pave,1983,316600
RL,7032,Pave,1979,135960
RL,13101,Pave,1965,142600
RL,7332,Pave,1959,120000
RL,13159,Pave,2009,224500
RL,9967,Pave,2000,170000
RL,10500,Pave,1971,139000
RL,8480,Pave,1947,118500
RL,6292,Pave,1928,145000
RL,11777,Pave,1966,164500
FV,3604,Pave,2007,146000
RM,12150,Pave,1954,131500
RL,14585,Pave,1960,181900
RL,12704,Pave,2008,253293
RL,11841,Grvl,1990,118500
RM,13500,Pave,1893,325000
RM,6120,Pave,1935,133000
RL,11443,Pave,2005,369900
RL,10267,Pave,1918,130000
RL,8740,Pave,1982,137000
RL,25095,Pave,1968,143000
RM,9100,Pave,1930,79500
RL,8320,Pave,2004,185900
RL,13478,Pave,2008,451950
RL,6600,Pave,1982,138000
RM,4435,Pave,2003,140000
RL,7990,Pave,1975,110000
RL,11302,Pave,2005,319000
RM,3600,Pave,1910,114504
RL,3922,Pave,2006,194201
RL,12984,Pave,1977,217500
RM,1950,Pave,1980,151000
RL,10927,Pave,2005,275000
RM,9000,Pave,1937,141000
RL,10041,Pave,1992,220000
FV,3182,Pave,2004,151000
RL,12803,Pave,2002,221000
RL,13600,Pave,1965,205000
RL,12464,Pave,1996,152000
RL,7800,Pave,1948,225000
RL,12168,Pave,1934,359100
RL,7943,Pave,1961,118500
RL,11050,Pave,2000,313000
RL,10395,Pave,1978,148000
RL,11885,Pave,2001,261500
RL,8402,Pave,2007,147000
RM,1491,Pave,1972,75500
RL,8800,Pave,1963,137500
RL,7861,Pave,2002,183200
RL,7227,Pave,1954,105500
RL,11694,Pave,2007,314813
RL,12244,Pave,2003,305000
RL,8248,Pave,1914,67000
RL,10800,Pave,1974,240000
RL,7064,Pave,1977,135000
FV,2117,Pave,2000,168500
RL,10400,Pave,1972,165150
RL,10000,Pave,1962,160000
RL,12342,Pave,1960,139900
RL,9600,Pave,1955,153000
RL,11606,Pave,1969,135000
RL,9020,Pave,1964,168500
RM,9000,Pave,1880,124000
RL,4590,Pave,2006,209500
RL,11900,Pave,1977,82500
RL,9250,Pave,1954,139400
RL,6979,Pave,1980,144000
RH,10896,Pave,1914,200000
RM,6120,Pave,1936,60000
RM,6000,Pave,1954,93000
RL,8777,Pave,1910,85000
RL,3982,Pave,2006,264561
RL,12677,Pave,2003,274000
FV,7050,Pave,2001,226000
RL,13860,Pave,1972,345000
RL,10793,Pave,1969,152000
FV,9187,Pave,2009,370878
RL,10530,Pave,1971,143250
RL,7200,Pave,1950,98300
RL,10452,Pave,1953,155000
RL,7700,Pave,1966,155000
RM,1936,Pave,1970,84500
FV,8125,Pave,2007,205950
RL,9084,Pave,1940,108000
RL,8750,Pave,1996,191000
RM,10320,Pave,1906,135000
RL,10437,Pave,1995,350000
RM,1680,Pave,1971,88000
RL,10007,Pave,1959,145500
RL,7200,Pave,1931,149000
RL,17503,Pave,1948,97500
RL,9937,Pave,1964,167000
RL,12384,Pave,1976,197900
RL,46589,Pave,1994,402000
RL,13560,Pave,1968,110000
RL,10012,Pave,1972,137500
RL,20896,Pave,2005,423000
RL,11194,Pave,2000,230500
RL,18450,Pave,1965,129000
RL,8125,Pave,1994,193500
RL,14175,Pave,1956,168000
RL,11600,Pave,1922,137500
RL,8633,Pave,2005,173500
RH,6629,Pave,1925,103600
RL,11250,Pave,1977,165000
RL,14442,Pave,1957,257500
RL,9200,Pave,1965,140000
RL,2289,Pave,1978,148500
RM,9600,Pave,1900,87000
RL,9022,Pave,1924,109500
RL,11844,Pave,2008,372500
RL,9945,Pave,1961,128500
RL,8012,Pave,1980,143000
RH,4500,Pave,1932,159434
RL,2887,Pave,1996,173000
RL,11248,Pave,2002,285000
RL,16770,Pave,1998,221000
RL,5062,Pave,1984,207500
FV,10207,Pave,2007,227875
FV,5105,Pave,2004,148800
RL,8089,Pave,2007,392000
RL,7577,Pave,2005,194700
RM,4426,Pave,2004,141000
RL,21535,Pave,1994,755000
RL,26178,Pave,1989,335000
RL,5400,Pave,1921,108480
RM,6120,Pave,1936,141500
RL,13811,Pave,1987,176000
RM,6000,Pave,1921,89000
RL,6420,Pave,1952,123500
RL,8450,Pave,1965,138500
FV,4282,Pave,2004,196000
RL,14331,Pave,2002,312500
RL,9600,Pave,1969,140000
RL,12438,Pave,2006,361919
RM,7630,Pave,1900,140000
RL,8400,Pave,2004,213000
RM,5600,Pave,1930,55000
RL,115149,Pave,1971,302000
RL,6240,Pave,2006,254000
RL,9018,Pave,2007,179540
RL,7162,Pave,1966,109900
RL,4130,Pave,1935,52000
C (all),8712,Pave,1900,102776
RL,4671,Pave,1988,189000
RL,9873,Pave,1970,129000
RL,13517,Pave,1976,130500
RL,10140,Pave,1974,165000
RM,10800,Pave,1890,159500
RL,10000,Pave,1973,157000
RL,10542,Pave,1993,341000
RL,9920,Pave,1969,128500
RL,6563,Pave,1985,275000
RM,4426,Pave,2004,143000
RL,8120,Pave,1970,124500
RL,8172,Pave,1954,135000
RL,13286,Pave,2007,320000
RL,6960,Pave,1970,120500
RL,21695,Pave,1988,222000
RL,7314,Pave,2007,194500
